Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002127",,"pOSAK1_03","pOSAK1_03","RefSeq.386585.9.NC_002127.CDS.1348.2388.rev","RefSeq","CDS",1348,2388,1041,"-",,,,"NP_052606.1",346,,"hypothetical protein",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002127",,"pOSAK1_01","pOSAK1_01","RefSeq.386585.9.NC_002127.CDS.413.736.fwd","RefSeq","CDS",413,736,324,"+",,,,"NP_052604.1",107,"mobA","plasmid mobilization",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002127",,"pOSAK1_02","pOSAK1_02","RefSeq.386585.9.NC_002127.CDS.971.1351.rev","RefSeq","CDS",971,1351,381,"-",,,,"NP_052605.1",126,,"hypothetical protein",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p01","pO157p01","RefSeq.386585.9.NC_002128.CDS.1.92721.fwd","RefSeq","CDS",1,92721,2502,"+",,,,"NP_052607.1",898,"tagA","ToxR-regulated lipoprotein",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p10","pO157p10","RefSeq.386585.9.NC_002128.CDS.10133.11110.fwd","RefSeq","CDS",10133,11110,978,"+",,,,"NP_052616.1",325,"etpK","EtpK",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p11","pO157p11","RefSeq.386585.9.NC_002128.CDS.11473.12321.fwd","RefSeq","CDS",11473,12321,849,"+",,,,"NP_052617.1",282,"etpL","EtpL",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p12","pO157p12","RefSeq.386585.9.NC_002128.CDS.12308.12820.fwd","RefSeq","CDS",12308,12820,513,"+",,,,"NP_052618.1",170,"etpM","EtpM",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p13","pO157p13","RefSeq.386585.9.NC_002128.CDS.12995.13711.fwd","RefSeq","CDS",12995,13711,717,"+",,,,"NP_052619.1",238,"etpN","EptN",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p14","pO157p14","RefSeq.386585.9.NC_002128.CDS.13803.14204.fwd","RefSeq","CDS",13803,14204,402,"+",,,,"NP_052620.1",133,"etpO","EptO",
"Escherichia coli O157:H7 str. Sakai","386585.9","NC_002128",,"pO157p15","pO157p15","RefSeq.386585.9.NC_002128.CDS.14347.14688.fwd","RefSeq","CDS",14347,14688,342,"+",,,,"NP_052621.1",113,,"hypothetical protein",
