Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|214092.21.peg.1279,Protein,"L-lysine 6-monooxygenase [NADPH] (EC 1.14.13.59), aerobactin biosynthesis protein IucD @ Siderophore biosynthesis protein, monooxygenase",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0993,iucD,RefSeq.9606.33.NC_000006.CDS.33065316.33073570.rev,Protein,"HLA class II histocompatibility antigen, DP alpha 1 chain isoform X1",Primates,9606,9606.33,Homo sapiens,,HLA-DPA1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2868487,imex:IM-13779-7463",
fig|214092.21.peg.2885,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2473,,RefSeq.9606.33.NC_000012.CDS.57096572.57108278.rev,Protein,"signal transducer and activator of transcription 6 isoform X2",Primates,9606,9606.33,Homo sapiens,,STAT6,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2853655,imex:IM-13779-5806",
fig|214092.21.peg.2885,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2473,,RefSeq.9606.33.NC_000017.CDS.32350286.32369759.fwd,Protein,"BUB3-interacting and GLEBS motif-containing protein ZNF207 isoform a",Primates,9606,9606.33,Homo sapiens,,ZNF207,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2849320,imex:IM-13779-5344",
fig|214092.21.peg.1198,Protein,"D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0922,epd,RefSeq.9606.33.NC_000022.CDS.41367533.41395960.fwd,Protein,"thyrotroph embryonic factor isoform 2",Primates,9606,9606.33,Homo sapiens,,TEF,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2852894,imex:IM-13779-5723",
fig|214092.21.peg.3786,Protein,"Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3315,rbsC,RefSeq.9606.33.NC_000020.CDS.49247267.49275839.rev,Protein,"NFX1-type zinc finger-containing protein 1 isoform X1",Primates,9606,9606.33,Homo sapiens,,ZNFX1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2849041,imex:IM-13779-5320",
fig|214092.21.peg.913,Protein,"ADP-heptose synthase (EC 2.7.-.-) / D-glycero-beta-D-manno-heptose 7-phosphate kinase",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0654,rfaE,RefSeq.9606.33.NC_000004.CDS.155926036.155953847.rev,Protein,"cathepsin O preproprotein",Primates,9606,9606.33,Homo sapiens,,CTSO,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2874287,imex:IM-13779-8136",
fig|214092.21.peg.4314,Protein,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3793,ugpC,RefSeq.9606.33.NC_000002.CDS.175074609.175136443.rev,Protein,"cyclic AMP-dependent transcription factor ATF-2 isoform 1",Primates,9606,9606.33,Homo sapiens,,ATF2,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2875537,imex:IM-13779-8290",
fig|214092.21.peg.1444,Protein,"6-phosphogluconolactonase (EC 3.1.1.31)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1149,,RefSeq.9606.33.NC_000010.CDS.96156323.96160774.fwd,Protein,"zinc finger protein 518A isoform X1",Primates,9606,9606.33,Homo sapiens,,ZNF518A,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2849830,imex:IM-13779-5399",
fig|214092.21.peg.1976,Protein,"Tripeptide aminopeptidase (EC 3.4.11.4)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1631,pepT,RefSeq.9606.33.NC_000001.CDS.151404802.151443638.rev,Protein,"pogo transposable element with ZNF domain isoform X3",Primates,9606,9606.33,Homo sapiens,,POGZ,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2860931,imex:IM-13779-6572",
fig|214092.21.peg.2623,Protein,"Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2227,pyrF,RefSeq.9606.33.NC_000001.CDS.150508210.150513467.fwd,Protein,"extracellular matrix protein 1 isoform 3 precursor",Primates,9606,9606.33,Homo sapiens,,ECM1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2870994,imex:IM-13779-7758",
fig|214092.21.peg.2438,Protein,"UPF0759 protein YecE",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2052,,RefSeq.9606.33.NC_000019.CDS.49861248.49867204.rev,Protein,"bifunctional polynucleotide phosphatase/kinase",Primates,9606,9606.33,Homo sapiens,,PNKP,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2861017,imex:IM-13779-6583",
fig|214092.21.peg.751,Protein,"Uncharacterized protein ImpB",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0500,,RefSeq.9606.33.NC_000018.CDS.9547789.9615181.rev,Protein,"serine/threonine-protein phosphatase 4 regulatory subunit 1 isoform X1",Primates,9606,9606.33,Homo sapiens,,PPP4R1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2845902,imex:IM-13779-5004",
fig|214092.21.peg.1208,Protein,"S-adenosylmethionine synthetase (EC 2.5.1.6)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0931,metK,RefSeq.9606.33.NC_000007.CDS.5190420.5230947.fwd,Protein,"WD repeat domain phosphoinositide-interacting protein 2 isoform d",Primates,9606,9606.33,Homo sapiens,,WIPI2,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2843884,imex:IM-13779-4810",
fig|214092.21.peg.4537,Protein,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2) @ Dipeptide chemoreceptor",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO4003,dppA,RefSeq.9606.33.NC_000023.CDS.154437255.154442672.fwd,Protein,"rab GDP dissociation inhibitor alpha",Primates,9606,9606.33,Homo sapiens,,GDI1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2869067,imex:IM-13779-7532",
fig|214092.21.peg.4651,Protein,"6-phosphogluconate phosphatase",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO4108,,RefSeq.9606.33.NC_000001.CDS.52423825.52526280.rev,Protein,"terminal uridylyltransferase 4 isoform X1",Primates,9606,9606.33,Homo sapiens,,ZCCHC11,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2841413,imex:IM-13779-4593",
fig|214092.21.peg.2614,Protein,"DNA topoisomerase I (EC 5.99.1.2)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2218,topA,RefSeq.9606.33.NC_000003.CDS.42601007.42645975.fwd,Protein,"NK-tumor recognition protein isoform X2",Primates,9606,9606.33,Homo sapiens,,NKTR,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2862720,imex:IM-13779-6784",
fig|214092.21.peg.3328,Protein,"23S rRNA (adenine(2503)-C(2))-methyltransferase & tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2882,,RefSeq.9606.33.NC_000005.CDS.150402240.150412749.rev,Protein,"HLA class II histocompatibility antigen gamma chain isoform a",Primates,9606,9606.33,Homo sapiens,,CD74,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2867989,imex:IM-13779-7409",
fig|214092.21.peg.1888,Protein,"Protein YeeZ",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1551,,RefSeq.9606.33.NC_000013.CDS.45337386.45341069.rev,Protein,"translationally-controlled tumor protein isoform 2",Primates,9606,9606.33,Homo sapiens,,TPT1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2852973,imex:IM-13779-5733",
fig|214092.21.peg.1711,Protein,"Putative exported protein precursor",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1388,,RefSeq.9606.33.NC_000016.CDS.58520958.58599337.rev,Protein,"CCR4-NOT transcription complex subunit 1 isoform a",Primates,9606,9606.33,Homo sapiens,,CNOT1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2873099,imex:IM-13779-8006",
fig|214092.21.peg.3852,Protein,"Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3372,cysJ,RefSeq.9606.33.NC_000002.CDS.105361283.105399096.rev,Protein,"four and a half LIM domains protein 2 isoform X2",Primates,9606,9606.33,Homo sapiens,,FHL2,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2847768,imex:IM-13779-5187",
fig|214092.21.peg.862,Protein,"Putative autotransporter protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0606,yapF,RefSeq.9606.33.NC_000020.CDS.37521332.37522759.fwd,Protein,"neuronatin isoform beta",Primates,9606,9606.33,Homo sapiens,,NNAT,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2862636,imex:IM-13779-6777",
fig|214092.21.peg.168,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPMT1.45c,,RefSeq.9606.33.NC_000019.CDS.39385915.39390864.rev,Protein,"RNA polymerase II-associated factor 1 homolog isoform 2",Primates,9606,9606.33,Homo sapiens,,PAF1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2857946,imex:IM-13779-6256",
fig|214092.21.peg.810,Protein,"D-alanine--D-alanine ligase (EC 6.3.2.4)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0557,ddl,RefSeq.9606.33.NC_000015.CDS.44711547.44716342.fwd,Protein,"beta-2-microglobulin precursor",Primates,9606,9606.33,Homo sapiens,,B2M,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2875319,imex:IM-13779-8268",
fig|214092.21.peg.1105,Protein,"Rhamnogalacturonides degradation protein RhiN",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0840,,RefSeq.9606.33.NC_000001.CDS.31576399.31586979.fwd,Protein,"tubulointerstitial nephritis antigen-like isoform X3",Primates,9606,9606.33,Homo sapiens,,TINAGL1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2852487,imex:IM-13779-5680",
fig|214092.21.peg.168,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPMT1.45c,,RefSeq.9606.33.NC_000011.CDS.65525154.65538566.fwd,Protein,"N-terminal kinase-like protein isoform B",Primates,9606,9606.33,Homo sapiens,,SCYL1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2862417,imex:IM-13779-6749",
fig|214092.21.peg.1225,Protein,"Putative virulence determinant",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0947,,RefSeq.9606.33.NC_000012.CDS.118150997.118255567.rev,Protein,"serine/threonine-protein kinase TAO3 isoform X2",Primates,9606,9606.33,Homo sapiens,,TAOK3,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2853235,imex:IM-13779-5761",
fig|214092.21.peg.396,Protein,"N,N'-diacetylchitobiose-specific 6-phospho-beta-glucosidase (EC 3.2.1.86)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0166,,RefSeq.9606.33.NC_000002.CDS.10419758.10426821.fwd,Protein,"hippocalcin-like protein 1 isoform X1",Primates,9606,9606.33,Homo sapiens,,HPCAL1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2847301,imex:IM-13779-5142",
fig|214092.21.peg.2163,Protein,"Flagellar hook protein FlgE",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1802,flgE,RefSeq.9606.33.NC_000002.CDS.148458759.148512941.fwd,Protein,"methyl-CpG-binding domain protein 5 isoform X1",Primates,9606,9606.33,Homo sapiens,,MBD5,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2864815,imex:IM-13779-7025",
fig|214092.21.peg.2605,Protein,"Anthranilate synthase, aminase component (EC 4.1.3.27)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2208,trpE,RefSeq.9606.33.NC_000019.CDS.48873234.48875973.fwd,Protein,"protein phosphatase 1 regulatory subunit 15A",Primates,9606,9606.33,Homo sapiens,,PPP1R15A,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2862266,imex:IM-13779-6736",
