Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
"fig|177416.18.peg.182","Protein","Outer membrane beta-barrel assembly protein BamB","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0165c",,"RefSeq.9606.33.NC_000022.CDS.29328821.29367243.rev","Protein","AP-1 complex subunit beta-1 isoform a","Primates",9606,"9606.33","Homo sapiens",,"AP1B1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2808916;imex:IM-13779-1314",
"RefSeq.177416.18.NC_006570.CDS.585870.586520.fwd","Protein","hypothetical protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0568",,"RefSeq.9606.33.NC_000012.CDS.57694162.57720909.fwd","Protein","protein OS-9 isoform 8 precursor","Primates",9606,"9606.33","Homo sapiens",,"OS9","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2804103;imex:IM-13779-770",
"RefSeq.177416.18.NC_006570.CDS.900248.901096.fwd","Protein","methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase putative bifunctional protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0892","folD","RefSeq.9606.33.NC_000019.CDS.7963483.8002116.rev","Protein","ELAV-like protein 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"ELAVL1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798970;imex:IM-13779-268",
"RefSeq.177416.18.NC_006570.CDS.1819745.1820749.rev","Protein","GTPase ObgE","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1731c","obgE","RefSeq.9606.33.NC_000003.CDS.32483960.32502745.rev","Protein","CKLF-like MARVEL transmembrane domain-containing protein 6","Primates",9606,"9606.33","Homo sapiens",,"CMTM6","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2807964;imex:IM-13779-1205",
"RefSeq.177416.18.NC_006570.CDS.1415006.1416997.rev","Protein","transketolase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1369c","tktA","RefSeq.9606.33.NC_000018.CDS.79679948.79753790.fwd","Protein","RNA polymerase II subunit A C-terminal domain phosphatase isoform X2","Primates",9606,"9606.33","Homo sapiens",,"CTDP1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2807562;imex:IM-13779-1160",
"RefSeq.177416.18.NC_006570.CDS.734051.736333.fwd","Protein","chitinase family 18 protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0715",,"RefSeq.9606.33.NC_000002.CDS.219597917.219616193.fwd","Protein","serine/threonine-protein kinase 11-interacting protein","Primates",9606,"9606.33","Homo sapiens",,"STK11IP","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2801467;imex:IM-13779-524",
"fig|177416.18.peg.121","Protein","Lipid A export permease/ATP-binding protein MsbA","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0109","valA","RefSeq.9606.33.NC_000012.CDS.107734210.107760515.rev","Protein","PR domain zinc finger protein 4 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"PRDM4","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2803432;imex:IM-13779-700",
"RefSeq.177416.18.NC_006570.CDS.503406.504125.fwd","Protein","hypothetical protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0484",,"RefSeq.9606.33.NC_000010.CDS.101786451.101818022.rev","Protein","protein O-GlcNAcase isoform a","Primates",9606,"9606.33","Homo sapiens",,"MGEA5","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2804492;imex:IM-13779-812",
"fig|177416.18.peg.93","Protein","Aconitate hydratase (EC 4.2.1.3)","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0087","acnA","RefSeq.9606.33.NC_000011.CDS.62433884.62536098.rev","Protein","neuroblast differentiation-associated protein AHNAK isoform 2","Primates",9606,"9606.33","Homo sapiens",,"AHNAK","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2809148;imex:IM-13779-1341",
"fig|177416.18.peg.77","Protein","Citrate synthase (si) (EC 2.3.3.1)","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0071c","gltA","RefSeq.9606.33.NC_000001.CDS.231528811.231564905.fwd","Protein","translin-associated protein X","Primates",9606,"9606.33","Homo sapiens",,"TSNAX","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800081;imex:IM-13779-374",
