Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
"fig|198094.11.peg.4861","Protein","Septation ring formation regulator EzrA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4901","ezrA","RefSeq.9606.33.NC_000019.CDS.18444752.18522055.rev","Protein","RNA polymerase II elongation factor ELL","Primates",9606,"9606.33","Homo sapiens",,"ELL","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2817092;imex:IM-13779-2045",
"fig|198094.11.peg.1058","Protein","Coproporphyrin ferrochelatase (EC 4.99.1.-)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1071","hemH","RefSeq.9606.33.NC_000006.CDS.30601549.30609944.rev","Protein","serine/threonine-protein phosphatase 1 regulatory subunit 10 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"PPP1R10","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2827222;imex:IM-13779-3056",
"fig|198094.11.peg.1157","Protein","ClpB protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1177","clpB","RefSeq.9606.33.NC_000001.CDS.40059347.40071533.fwd","Protein","adenylyl cyclase-associated protein 1 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"CAP1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2837179;imex:IM-13779-4194",
"fig|198094.11.peg.5133","Protein","DUF1450 superfamily protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5172",,"RefSeq.9606.33.NC_000003.CDS.48751585.48847596.rev","Protein","cAMP-dependent protein kinase type II-alpha regulatory subunit isoform X1","Primates",9606,"9606.33","Homo sapiens",,"PRKAR2A","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2830912;imex:IM-13779-3472",
"fig|198094.11.peg.5423","Protein","Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5463","thiC","RefSeq.9606.33.NC_000004.CDS.102510933.102616594.fwd","Protein","nuclear factor NF-kappa-B p105 subunit isoform X2","Primates",9606,"9606.33","Homo sapiens",,"NFKB1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2828767;imex:IM-13779-3229",
"fig|198094.11.peg.5225","Protein","Inner membrane protein translocase component YidC, OxaA protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5263","spoIIIJ-1","RefSeq.9606.33.NC_000012.CDS.56163689.56189461.rev","Protein","SWI/SNF complex subunit SMARCC2 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"SMARCC2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2822392;imex:IM-13779-2577",
"fig|198094.11.peg.3998","Protein","Dihydroorotase (EC 3.5.2.3)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4027","pyrC","RefSeq.9606.33.NC_000002.CDS.105361283.105399096.rev","Protein","four and a half LIM domains protein 2 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"FHL2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2833849;imex:IM-13779-3812",
"fig|198094.11.peg.4027","Protein","Cell division protein FtsL","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4056","ftsL","RefSeq.9606.33.NC_000017.CDS.63827491.63831969.fwd","Protein","26S protease regulatory subunit 8 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"PSMC5","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2810726;imex:IM-13779-1469",
"fig|198094.11.peg.136","Protein","ATPase component of general energizing module of ECF transporters","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0139","cbiO","RefSeq.9606.33.NC_000013.CDS.40933425.40982054.rev","Protein","ETS-related transcription factor Elf-1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"ELF1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2834476;imex:IM-13779-3876",
"fig|198094.11.peg.530","Protein","Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0531","hemL-1","RefSeq.9606.33.NC_000017.CDS.42810760.42823877.rev","Protein","beclin-1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"BECN1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2837548;imex:IM-13779-4227",
