Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4455","AK38_4156",,"PATRIC.214092.181.CP009971.CDS.10020.11228.fwd","PATRIC","CDS",10020,11228,1209,"+","FIG01306568","PLF_629_00000006","PGF_01000105",,402,,"Mobile element protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4456",,,"PATRIC.214092.181.CP009971.CDS.11348.11452.rev","PATRIC","CDS",11348,11452,105,"-",,"PLF_629_00034530","PGF_06109603",,34,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4457","AK38_4157",,"PATRIC.214092.181.CP009971.CDS.11697.12719.fwd","PATRIC","CDS",11697,12719,1023,"+","FIG01306568","PLF_629_00003874","PGF_09978608",,340,,"Transposase",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4458",,,"PATRIC.214092.181.CP009971.CDS.12918.13235.rev","PATRIC","CDS",12918,13235,318,"-","FIG01306568","PLF_629_00042478","PGF_10476830",,105,,"Mobile element protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4459",,,"PATRIC.214092.181.CP009971.CDS.14080.14550.fwd","PATRIC","CDS",14080,14550,471,"+","FIG00446664","PLF_629_00003833","PGF_04664292",,156,,"Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)","GO:0003964|RNA-directed DNA polymerase activity"
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4460","AK38_4158",,"PATRIC.214092.181.CP009971.CDS.14795.16558.rev","PATRIC","CDS",14795,16558,1764,"-","FIG01379334","PLF_629_00011322","PGF_00401618",,587,,"murine toxin",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4461","AK38_4159",,"PATRIC.214092.181.CP009971.CDS.16636.17124.rev","PATRIC","CDS",16636,17124,489,"-","FIG01219697","PLF_629_00046775","PGF_03932027",,162,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4462","AK38_4160",,"PATRIC.214092.181.CP009971.CDS.17864.18139.fwd","PATRIC","CDS",17864,18139,276,"+","FIG01220263","PLF_629_00003967","PGF_00270663",,91,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4463","AK38_4161",,"PATRIC.214092.181.CP009971.CDS.18162.19142.rev","PATRIC","CDS",18162,19142,981,"-","FIG01306568","PLF_629_00021207","PGF_10476830",,326,,"Mobile element protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4447","AK38_4149",,"PATRIC.214092.181.CP009971.CDS.1824.2036.rev","PATRIC","CDS",1824,2036,213,"-","FIG01221759","PLF_629_00006058","PGF_00152985",,70,,"hypothetical protein",
