Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1001,BA1010,VBIBacAnt69550_1001,PATRIC.198094.11.NC_003997.CDS.1000114.1001244.fwd,PATRIC,CDS,1000114,1001244,1131,+,FIG01322016,PLF_1386_00002406,PGF_00414073,NP_843511.1,376,,"transposase, IS605 family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1002,BA1011,VBIBacAnt69550_1002,PATRIC.198094.11.NC_003997.CDS.1001412.1003715.fwd,PATRIC,CDS,1001412,1003715,2304,+,FIG00944792,PLF_1386_00060811,PGF_00421220,NP_843512.1,767,,DNA double-strand break repair Rad50 ATPase,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1003,BA1012,VBIBacAnt69550_1003,PATRIC.198094.11.NC_003997.CDS.1003757.1004701.fwd,PATRIC,CDS,1003757,1004701,945,+,FIG01114325,PLF_1386_00000403,PGF_00416436,NP_843513.1,314,,3'->5' exoribonuclease Bsu YhaM,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1004,BA1013,VBIBacAnt69550_1004,PATRIC.198094.11.NC_003997.CDS.1004878.1005453.fwd,PATRIC,CDS,1004878,1005453,576,+,FIG00554417,PLF_1386_00007393,PGF_10311282,NP_843514.1,191,,"Transcriptional regulator, AcrR family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1005,BA1014,VBIBacAnt69550_1005,PATRIC.198094.11.NC_003997.CDS.1005511.1006722.fwd,PATRIC,CDS,1005511,1006722,1212,+,FIG01225794,PLF_1386_00006701,PGF_03088591,NP_843515.1,403,,Putative transporter,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1006,BA1015,VBIBacAnt69550_1006,PATRIC.198094.11.NC_003997.CDS.1007139.1008083.fwd,PATRIC,CDS,1007139,1008083,945,+,,PLF_1386_00001430,PGF_03013080,NP_843516.1,314,,Putative ring-cleaving dioxygenase MhqA,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1007,BA1016,VBIBacAnt69550_1007,PATRIC.198094.11.NC_003997.CDS.1008127.1009104.fwd,PATRIC,CDS,1008127,1009104,978,+,FIG00007915,PLF_1386_00000813,PGF_12911977,NP_843517.1,325,,Glyoxalase family protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1008,BA1017,VBIBacAnt69550_1008,PATRIC.198094.11.NC_003997.CDS.1009328.1010440.fwd,PATRIC,CDS,1009328,1010440,1113,+,FIG00774028,PLF_1386_00461673,PGF_00819248,NP_843518.1,370,,Response regulator aspartate phosphatase,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1009,BA1018,VBIBacAnt69550_1009,PATRIC.198094.11.NC_003997.CDS.1010437.1010568.fwd,PATRIC,CDS,1010437,1010568,132,+,FIG01227400,PLF_1386_00008593,PGF_00210928,NP_843519.1,43,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1010,BA1019,VBIBacAnt69550_1010,PATRIC.198094.11.NC_003997.CDS.1010796.1011671.fwd,PATRIC,CDS,1010796,1011671,876,+,FIG01336350,PLF_1386_00003186,PGF_00017040,NP_843520.1,291,,"Lipase, alpha/beta hydrolase fold family (EC 3.1.1.3)",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1011,BA1020,VBIBacAnt69550_1011,PATRIC.198094.11.NC_003997.CDS.1011752.1011952.fwd,PATRIC,CDS,1011752,1011952,201,+,FIG01348111,PLF_1386_00002953,PGF_00045655,NP_843521.1,66,,Sporulation protein YhaL,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1012,BA1021,VBIBacAnt69550_1012,PATRIC.198094.11.NC_003997.CDS.1012126.1012977.fwd,PATRIC,CDS,1012126,1012977,852,+,FIG01227009,PLF_1386_00002171,PGF_10491990,NP_843522.1,283,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.87,BA0090,VBIBacAnt69550_0087,PATRIC.198094.11.NC_003997.CDS.101259.101666.fwd,PATRIC,CDS,101259,101666,408,+,FIG00001298,PLF_1386_00459621,PGF_00598888,NP_842658.1,135,,Mini-ribonuclease III,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1013,BA1022,VBIBacAnt69550_1013,PATRIC.198094.11.NC_003997.CDS.1013337.1013558.fwd,PATRIC,CDS,1013337,1013558,222,+,FIG01229586,PLF_1386_00279165,PGF_06335969,NP_843523.1,73,,"Transcriptional regulator, Xre family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1014,BA1023,VBIBacAnt69550_1014,PATRIC.198094.11.NC_003997.CDS.1013617.1013787.fwd,PATRIC,CDS,1013617,1013787,171,+,FIG01229586,PLF_1386_00279165,PGF_06335969,NP_843524.1,56,,"Transcriptional regulator, Xre family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1015,BA1024,VBIBacAnt69550_1015,PATRIC.198094.11.NC_003997.CDS.1013885.1014445.fwd,PATRIC,CDS,1013885,1014445,561,+,FIG00001907,PLF_1386_00304327,PGF_03077457,NP_843525.1,186,glpP,Glycerol-3-phosphate responsive antiterminator (mRNA-binding),
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1016,BA1025,VBIBacAnt69550_1016,PATRIC.198094.11.NC_003997.CDS.1014674.1015495.fwd,PATRIC,CDS,1014674,1015495,822,+,FIG00045413,PLF_1386_00000420,PGF_00008542,NP_843526.1,273,glpF,Glycerol uptake facilitator protein,GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane
