Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
"fig|386585.9.peg.2841","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs2714",,"RefSeq.9606.33.NC_000017.CDS.28328630.28331985.rev","Protein","intraflagellar transport protein 20 homolog isoform 4","Primates",9606,"9606.33","Homo sapiens",,"IFT20","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10038810;imex:IM-23549-8",
"fig|386585.9.peg.2847","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs2715",,"RefSeq.9606.33.NC_000019.CDS.20624290.20661446.rev","Protein","zinc finger protein 626 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"ZNF626","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10039475;imex:IM-23549-38",
"fig|386585.9.peg.4768","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4550",,"RefSeq.9606.33.NC_000015.CDS.75649103.75657215.fwd","Protein","sorting nexin-33","Primates",9606,"9606.33","Homo sapiens",,"SNX33","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038720;imex:IM-23549-4;intact:EBI-10040205;imex:IM-23549-65",
"fig|386585.9.peg.1913","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1812",,"RefSeq.9606.33.NC_000008.CDS.56441272.56445953.rev","Protein","proenkephalin-A preproprotein","Primates",9606,"9606.33","Homo sapiens",,"PENK","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039135;imex:IM-23549-24;intact:EBI-10040235;imex:IM-23549-74",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000001.CDS.39682536.39684603.rev","Protein","hippocalcin-like protein 4 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"HPCAL4","HPI","physical association","luminescence based mammalian interactome mapping;two hybrid","experimental","25519916;23549","intact","intact:EBI-10039832;imex:IM-23549-49;intact:EBI-10039504;imex:IM-23549-42;intact:EBI-10040006;imex:IM-23549-59",
"fig|386585.9.peg.1913","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1812",,"RefSeq.9606.33.NC_000009.CDS.83243202.83538231.rev","Protein","FERM domain-containing protein 3 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"FRMD3","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039131;imex:IM-23549-23;intact:EBI-10040232;imex:IM-23549-73",
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000014.CDS.90256598.90272407.fwd","Protein","26S protease regulatory subunit 4","Primates",9606,"9606.33","Homo sapiens",,"PSMC1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039018;imex:IM-23549-18;intact:EBI-10040275;imex:IM-23549-86",
"fig|386585.9.peg.4768","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4550",,"RefSeq.9606.33.NC_000001.CDS.11674775.11680601.rev","Protein","mitotic spindle assembly checkpoint protein MAD2B isoform X1","Primates",9606,"9606.33","Homo sapiens",,"MAD2L2","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038698;imex:IM-23549-3;intact:EBI-10040201;imex:IM-23549-64",
"RefSeq.386585.9.NC_002695.CDS.4603488.4603994.rev","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4564",,"RefSeq.9606.33.NC_000011.CDS.120337244.120485077.fwd","Protein","rho guanine nucleotide exchange factor 12 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"ARHGEF12","HPI","physical association","pull down","experimental","20300064","mint","intact:EBI-7865324;mint:MINT-7949690;imex:IM-15070-4",
"fig|386585.9.peg.4771","Protein","Secretion system effector SseD","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4554",,"RefSeq.9606.33.NC_000002.CDS.219246000.219248559.fwd","Protein","serine/threonine-protein kinase 16 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"STK16","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10038684;imex:IM-23549-2",
