Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT0088,FTT0088,RefSeq.177416.18.NC_006570.CDS.91678.92706.fwd,RefSeq,CDS,91678,92706,1029,+,,,,YP_169162.1,342,pilT,Type IV pili nucleotide-binding protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.23,FTT0020,VBIFraTul2086_0023,PATRIC.177416.18.NC_006570.CDS.18174.19619.fwd,PATRIC,CDS,18174,19619,1446,+,FIG00000359,PLF_262_00000545,PGF_06522349,YP_169096.1,481,gatA,Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT0398c,FTT0398c,RefSeq.177416.18.NC_006570.CDS.399332.399931.rev,RefSeq,CDS,399332,399931,600,-,,,,YP_169443.1,199,,hypothetical protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1536c,FTT1536c,RefSeq.177416.18.NC_006570.CDS.1598415.1599329.rev,RefSeq,CDS,1598415,1599329,915,-,,,,YP_170464.1,304,,hypothetical protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1549,FTT1549,RefSeq.177416.18.NC_006570.CDS.1611324.1611779.fwd,RefSeq,CDS,1611324,1611779,456,+,,,,YP_170473.1,151,,hypothetical protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1316c,FTT1316c,RefSeq.177416.18.NC_006570.CDS.1342087.1342740.rev,RefSeq,CDS,1342087,1342740,654,-,,,,YP_170269.1,217,,thiamine pyrophospokinase,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.405,,VBIFraTul2086_0405,PATRIC.177416.18.NC_006570.CDS.364880.365023.rev,PATRIC,CDS,364880,365023,144,-,FIG00658324,PLF_262_00001277,PGF_00373887,,47,,hypothetical protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT0372c,FTT0372c,RefSeq.177416.18.NC_006570.CDS.372485.373393.rev,RefSeq,CDS,372485,373393,909,-,,,,YP_169419.1,302,accD,Acetyl-CoA carboxylase beta subunit,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.596,,VBIFraTul2086_0596,PATRIC.177416.18.NC_006570.CDS.550183.550617.rev,PATRIC,CDS,550183,550617,435,-,FIG00023943,PLF_262_00000042,PGF_03787622,,144,,DNA polymerase IV (EC 2.7.7.7),GO:0003887|DNA-directed DNA polymerase activity
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.173,FTT0157c,VBIFraTul2086_0173,PATRIC.177416.18.NC_006570.CDS.172515.173399.rev,PATRIC,CDS,172515,173399,885,-,FIG01400071,PLF_262_00000897,PGF_08260710,YP_169223.1,294,,Choline permease LicB,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.460,,VBIFraTul2086_0460,PATRIC.177416.18.NC_006570.CDS.424637.426271.fwd,PATRIC,CDS,424637,426271,1635,+,FIG00000901,PLF_262_00000218,PGF_00033479,,544,,Phosphoglucomutase (EC 5.4.2.2),GO:0004614|phosphoglucomutase activity
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.1754,,VBIFraTul2086_1754,PATRIC.177416.18.NC_006570.CDS.1574074.1574349.rev,PATRIC,CDS,1574074,1574349,276,-,FIG00138250,PLF_262_00000052,PGF_10373476,,91,,Diaminopimelate decarboxylase (EC 4.1.1.20),GO:0008836|diaminopimelate decarboxylase activity
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1490,FTT1490,RefSeq.177416.18.NC_006570.CDS.1543156.1544454.fwd,RefSeq,CDS,1543156,1544454,1299,+,,,,YP_170425.1,432,,Na+/H+ antiporter,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1273,FTT1273,RefSeq.177416.18.NC_006570.CDS.1295927.1296355.fwd,RefSeq,CDS,1295927,1296355,429,+,,,,YP_170229.2,142,rplM,50S ribosomal protein L13,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT0071c,FTT0071c,RefSeq.177416.18.NC_006570.CDS.72298.73572.rev,RefSeq,CDS,72298,73572,1275,-,,,,YP_169146.1,424,gltA,citrate synthase,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT0669,FTT0669,RefSeq.177416.18.NC_006570.CDS.685953.687128.fwd,RefSeq,CDS,685953,687128,1176,+,,,,YP_169686.1,391,,Sodium/hydrogen exchanger family protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1119,FTT1119,RefSeq.177416.18.NC_006570.CDS.1129204.1130079.fwd,RefSeq,CDS,1129204,1130079,876,+,,,,YP_170093.1,291,,LysR transcriptional regulator family protein,
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,,FTT1711c,FTT1711c,RefSeq.177416.18.NC_006570.CDS.1790800.1792005.rev,RefSeq,CDS,1790800,1792005,1206,-,,,,YP_170616.1,401,iglD1,"intracellular growth locus, subunit D",
Francisella tularensis subsp. tularensis SCHU S4,177416.18,NC_006570,fig|177416.18.peg.1211,,VBIFraTul2086_1211,PATRIC.177416.18.NC_006570.CDS.1065279.1066094.rev,PATRIC,CDS,1065279,1066094,816,-,FIG01956038,PLF_262_00000223,PGF_00048829,,271,,LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22),
